,页面网址,酒店名称,回复ID,回复时间,answer,原ID,question,原时间,clean_question_new,clean_answer_new
0,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Johnj11,23-Mar,How does the Padma Dip and Dine program work for day guests?,Answer from Day_3366,"Hi John, as we were staying there we did not ask about this. It seemed that most people we talked to around the pool were actually staying at the resort as well.",23-Mar, john staying ask seemed people talked around pool actually staying  well, dip dine program work  guests
1,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Charmaine2808,23-Feb,We have booked the Deluxe Chalet. I see that there is 2 layouts. 1 with a bath and one without.  Are both options on the 2nd level?  As we prefer 2nd level but wondering if we can still choose the with bath. And are they close to beach?,Answer from jfsullivan@bigpond.com,"Can""t help with Chalets ( we  stayded in a lagoon access room - it was great).

If you are staying in the chalets it about a 5 minute walk pass the 2 big pools to the beach.",23-Mar,help chalets stayded lagoon access  great staying chalets minute walk pass big pools beach,booked deluxe chalet see layouts bath  without options 2nd level prefer 2nd level wondering still choose bath close beach
2,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Pupinagenova,23-Feb,"Volevo sapere se è semplice organizzare tour per visitare l’isola orrendo da questo albergo e se vicino ci sono bar e ristoranti, grazie",Answer from jaime s,"Yes there are many options for tours , see the hotel lobby for more information. Also there is many options for dinning from fine dinning to wurungs street food available at hotel and nearby streets.",23-Feb, many options tours see  lobby information  many options dinning fine dinning wurungs street food available  nearby streets,volevo sapere se e semplice organizzare tour per visitare lisola orrendo da questo albergo e se vicino ci sono bar e ristoranti grazie
3,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,mickandkate,23-Jan,Are the bunks in the family rooms suitable for a 14 year old girl?,Answer from Vivienne W,I don’t believe so �,23-Jan, believe,bunks family rooms suitable year old girl
4,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Jeff B,22-Oct,Is the kids club suitable for a 6 year old or is it more appropriate for younger kids?,Answer from happylittletraveler,My daughter loved it when she was 5yrs. Hated it and didn’t use it go at 8 yrs. I think at 6 he will still enjoy it!,22-Oct,daughter loved 5yrs hated  use  yrs think still enjoy,kids club suitable year old appropriate younger kids
5,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,froweoverseas,22-Aug,"Hi there! I was after some info about the Family rooms. Are they surrounded by gorgeous garden, like the chalets, or is it more of a standard hotel block feel? Absolutely loved the chalets being surrounded by lush garden when I stayed years ago, but also loving the idea of separate rooms for kids! Thankyou",,,,, info family rooms surrounded gorgeous garden like chalets standard  block feel absolutely loved chalets surrounded lush garden stayed years ago  loving idea separate rooms kids thankyou
6,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,sophie g,22-Aug,"Hi, are pool passes for the kids pool currently available? Thankyou",,,,, pool passes kids pool currently available thankyou
7,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,valerianroots123,22-Aug,Does anyone know if the Padma has a back gate? Hoping for quick access to the  street behind the family block without having to go down that long driveway towards the Mandira. Thanks,Answer from Peter K,"Yes, they do have a back gate for staff only. Security checks are done there, however if you ask the security people they may make an acception for you in certain circumstance. Peter.",22-Aug,  gate staff security checks done however ask security people may make acception certain circumstance peter,anyone know   gate hoping quick access street behind family block without  long driveway towards mandira thanks
8,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Bonnie M,22-Jul,Can kids come into three club lounge during cocktail hour?,Answer from Mohsen M.,"Yes, I saw families with Kids. Generally the hotel is very family friendly.",22-Nov, saw families kids generally  family friendly,kids come three club lounge cocktail hour
9,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,msjovi,22-Jun,I’ve booked a Deluxe family room (2 x interconnecting deluxe rooms) and am getting concerned with the reviews saying these are older style rooms and outdated. Can anyone give me some feedback about this room type? I believe they face the back of the block near the lagoon pool?,Answer from margieclay,Our first time at Padma we faced a vacant block.  I don't remember it being older style - we only went to our room to shower and sleep.  It was more about the experience outside the room.,22-Sep,first time  faced vacant block remember older style went  shower sleep experience outside , booked deluxe family  x interconnecting deluxe rooms getting concerned reviews saying older style rooms outdated anyone give feedback  type believe face  block near lagoon pool
10,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,SezandG,22-May,"Hi we are trying to find accommodation. Has anyone ever missed out on a request for a connecting room? We have me, my partner and our 4 kids. Although two of them are adult ages 18 and 13 they still won't sleep without connecting rooms to us. I'm nervous we will end up in separate rooms (which means my partner and I will have to separate with 2 kids each)",Answer from Trish C,Padma Resort I’m Legian Bali has connecting rooms. I would expect that if you booked connecting rooms you would get them. Always excellent service.,22-Jun,     connecting rooms  expect booked connecting rooms   always excellent service, trying find accommodation anyone ever missed request connecting  partner kids although two adult ages still sleep without connecting rooms  nervous end separate rooms means partner separate kids
11,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,happylittletraveler,22-Apr,"Hi, We have stayed previously and thinking of booking for July school holidays. Wondering if anyone who has stayed since they starting offering the day pass noticed any difference in crowd levels around the pool? Worried this may change the atmosphere? Thanks!",Answer from tik f,"Yes, i see that the crowd is level up in our last stay. But who knows, in july it will be quiter than now, though I doubt it.",22-Apr, see crowd level last stay knows july quiter though doubt, stayed previously thinking booking july school holidays wondering anyone stayed since starting offering  pass noticed difference crowd levels around pool worried may change atmosphere thanks
12,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,youngozziebuck,20-Apr,Hi; wondering if anyone there at moment during Covid.  Is resort operating as normal?  Any feedback or info welcome,Answer from Les H,Whether open or not I certainly would'nt be travelling at this time and certainly not to Bali. But as stated above send an email.,20-Apr,whether open certainly  nt travelling time certainly  stated send email, wondering anyone moment covid  operating normal feedback info welcome
13,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,LoveTravelling0610,20-Mar,"Hi 
Jus wanted to get some recent updates or feedback on the deluxe room vs lagoon view room. Is it worth it? 

Am tossing up between here and Bali Mandira uo the road. 

Also if anyone has had kids in the kids club, my toddler is 3 so looking to have some mum time while he is in there. 

Thanks in advance for your feedback.",Answer from petathomas,"I’ve stayed at both and Mandira is good but the Padma is the best. I’d recommend the deluxe room with a 3 year old as the kids will swim at night which may be noisy when you’re putting child to bed. Kids pool and kids club is brilliant. My son and friends children went there, by choice, everyday because of the activities and staff who dote on them.",20-Mar, stayed mandira good    recommend deluxe  year old kids swim night may noisy  putting child bed kids pool kids club brilliant son friends children went choice everyday activities staff dote, jus wanted  recent updates feedback deluxe  vs lagoon view  worth tossing  mandira uo road  anyone kids kids club toddler looking mum time thanks advance feedback
14,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,NIchole T,20-Feb,"Hi, I understand there are some renovations happening at the moment. Does anyone know how long they will go for? What is the proposed month or date of completion?",Answer from margieclay,"Padma was and still is immaculately kept.  Staff are continuously trimming plants, doing touch up painting etc.  Didn't see any renovations happening when we were there - we have just returned.",22-Sep, still immaculately kept staff continuously trimming plants touch painting etc see renovations happening returned, understand renovations happening moment anyone know long  proposed month date completion
15,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Jarrod W,20-Feb,"Wondering it anyone has any feedback, good or bad, on the adults cooking class at the Padma? Thanks",Answer from Helen A,Yes the cooking class was great. We did this and you get to eat a 3 course meal that you cooked. It’s amazing.,20-Feb, cooking class great  eat course meal cooked  amazing,wondering anyone feedback good bad adults cooking class  thanks
16,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Fei R,20-Jan,Is there any basketball court in this hotel?,Answer from RUMABADA05,I don’t think so,20-Feb, think,basketball court 
17,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Amy V,19-Dec,"Hi Guys 
I’m wondering if anyone who has booked 2 interconnecting chalets? I’m about to book as we are a family of 4 and have missed out on a family room, my children are 1 and 5. I just received an email from Padma, stating- the rooms are not actually connected but side by side, I need direct access to my kids. Can any one out there who has made the same booking tell me if I can get to my children within the Chalets (like a connecting door) 
Our only other option is the new family deluxe suite which is sadly way out of our budget. 
Thanks",Answer from Jason S,"Hi Amy V,

I recently stayed at Padma but don’t know of this option you require. I have stayed at the Mandira which is right next door to the Padma and it offers exactly what you are after. It is a good hotel and I believe it too has the same owner as the Padma. I highly recommend the Mandira  as a good family option with a door between you and your kids.

Regards 
Jason S",19-Dec, amy v recently stayed   know option require stayed mandira right next door  offers exactly good  believe owner  highly recommend mandira good family option door kids  jason, guys  wondering anyone booked interconnecting chalets  book family missed family  children received email  stating rooms actually connected side side need direct access kids   booking tell  children within chalets like connecting door option new family deluxe suite sadly way budget thanks
18,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Amy V,19-Dec,"Hi Guys 
I’m wondering if anyone who has booked 2 interconnecting chalets? I’m about to book as we are a family of 4 and have missed out on a family room, my children are 1 and 5. I just received an email from Padma, stating- the rooms are not actually connected but side by side, I need direct access to my kids. Can any one out there who has made the same booking tell me if I can get to my children within the Chalets (like a connecting door) 
Our only other option is the new family deluxe suite which is sadly way out of our budget. 
Thanks",Answer from FoodieSinceForever,"They also have a sofa, which suffices as a bed for a young child and also provide a cot for baby in case you prefer to stay in the same room. We were travelling with our 1 year old baby and the cot was very useful. You might want to check with them on this option.",19-Dec, sofa suffices bed young child  provide cot baby case prefer stay  travelling year old baby cot useful might  check option, guys  wondering anyone booked interconnecting chalets  book family missed family  children received email  stating rooms actually connected side side need direct access kids   booking tell  children within chalets like connecting door option new family deluxe suite sadly way budget thanks
