,页面网址,酒店名称,评论ID,评论日期,content,clean_content_new
0,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,cody l,Yesterday,"""Enjoy..""",enjoy
1,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,heysydney93,1-Apr,"""one of the best for family holiday""", best family holiday
2,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,browny47,23-Mar,"""Get in early to reserve a shady spot at the pools �""", early reserve shady spot pools
3,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Stephen H,23-Mar,"""Highly recommend the Club Lounge option for evening drinks""",highly recommend club lounge option evening drinks
4,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,David R,23-Mar,"""Highly recommend the chalets for couples, as the other rooms are close to the family/lagoon pool.""",highly recommend chalets couples  close family lagoon pool
5,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,,,,
6,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Yasmin G,23-Mar,"""If your travelling with a baby grab a portable steriliser from Kmart it was so easy to use and pack""",travelling baby grab portable steriliser kmart easy use pack
7,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Ismono A,23-Mar,"""Please confirm to the hotel in detail for packages offered""",please confirm  detail packages offered
8,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,mfkstf,23-Mar,"""GO CLUB IF YOU CAN """, club
9,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Robyn S,23-Mar,"""Lagoon access rooms are well worth it!""",lagoon access  well worth
10,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Day_3366,23-Mar,"""Not everywhere is tap and go. So don’t forget your PIN number ;-)""",everywhere tap   forget pin number
11,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,SubiSimon,23-Mar,"""We prefer the upstairs chalet rooms with a balcony.  """,prefer upstairs chalet  balcony
12,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Charmaine2808,23-Mar,"""Everything was easy. Didn't find the infinity pool area as busy as I thought it would be. Being adults only people used other 2 pool areas.""",everything easy find infinity pool area busy thought  adults people used pool areas
13,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Steve W,23-Mar,"""I know this sounds really picky but possibly a juicing machine in the club lounge.""",know sounds  picky possibly juicing machine club lounge
